Lake_Name_Standardized,Date,Station name,Station code,water_bodies,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Source_File,Nitrate,COD,Free Ammonia  (mg/L),P/R Ratio,Total Phosphate (mg/L),Ortho Phosphate (mg/L),Any Other,Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe),% Sodium,Unnamed: 36,Unnamed: 37,Free Ammonia,Ammonia  (mg/L),Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,COD (mg/L).1,Sodium %,Faecal streptococci,Fecal streptococci,Unnamed: 38,District,RO,Total coliform (MPN/100ml),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Ammonia,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Conductivity (μs/cm),Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,Unnamed: 58,Classes,Remarks,Unnamed: 48
Himayat Sagar,March 2019,Himayathsagar lake,1789,HMDA,5.8,8.26,420.0,2.0,,,Less than 1.8,22.0,,,6.0,15,140.0,38.0,10.0,4.0,,150.0,38.0,13.37,16.0,27.0,256.0,,6.0,,0.09,2.0,0.38,27.69,0.96,15.csv,0.0,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),April 2019,U/s of Musi at Gandipet (Osmansagar lake),1172, Lakes /Tanks/ Cheruvus,5.8,8.1,420.0,2,,,Less than 1.8,20,,,4.0,BDL,130.0,40.0,10.0,4,,145.0,26.0,19.44,19.0,28.0,256.0,,6.0,0.02,0.09,2.0,0.64,29.2,0.71,16.csv,0.0,,,,,,,,,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,Less than 0.003,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,April 2019,Hussain sagar Lake,1391, Lakes /Tanks/ Cheruvus,2,7.52,1440.0,10,,,20,280,,,18.0,BDL,365.0,182.0,76.0,2.2,,395.0,116.0,25.52,82.0,145.0,896.0,,12.0,2.13,0.13,4.0,1.2,44.07,2.24,16.csv,3.82,,,,,,,,,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,April 2019,Himayathsagar lake,1789, Lakes /Tanks/ Cheruvus,5.6,8.16,410.0,2,,,Less than 1.8,22,,,6.0,BDL,130.0,42.0,10.0,4,,155.0,26.0,21.87,20.0,24.0,258.0,,4.0,0.22,0.09,2.0,0.46,24.88,0.59,16.csv,0.0,,,,,,,,,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),May 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes  & Tanks,5.9,8.0,454.0,3.0,,BDL,Less than 1.8,8.0,Not Analysed,Not Analysed,8,18,142,32,40.0,11,,180,24.0,29.0,9,220.0,294,-,5,,0.09,7.0,0.4,,7.1,17.csv,9,,0.02,Not Analysed,0.05,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,May 2019,Hussain sagar Lake,1391,Lakes  & Tanks,6.2,7.69,1556.0,35.0,,0.09,Less than 1.8,540.0,Not Analysed,Not Analysed,42,-,263,164,174.0,28,,400,85.0,46.0,70,108.0,1059,489,142,,BDL,32.0,BDL,,2.3,17.csv,22,,0.54,Not Analysed,0.04,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,May 2019,Himayathsagar lake,1789,Lakes  & Tanks,4.9,8.0,444.0,3.0,,Not Analysed,BDL,22.0,Not Analysed,Not Analysed,6,BDL,145,42,10.0,BDL,,155,32.0,18.22,16,30.0,280,Not Analysed,4,,0.09,2.2,0.32,,0.74,17.csv,0.22,,Not Analysed,Not Analysed,0.26,Not Analysed,,,,,,,,,,,,29.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),June 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes  & Tanks,5.2,8.1,478.0,3.0,,2.0,Less than  2,22,,,,8,160.0,,16.0,,,172.0,32.0,22.0,0,114.0,320.0,210,20.0,,0.09,5.0,0.24,,,18.csv,7.0,,,,0.3,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,June 2019,Hussain sagar Lake,1391,Lakes  & Tanks,3.3,8.1,1607.0,18.0,,2.0,94,540,,,,4,284.0,394.0,73.0,11,,344.0,83.0,33.0,53,179.0,1061.0,720,31.0,,0.09,14.0,0.14,,4.2,18.csv,8.0,,0.25,,0.14,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,June 2019,Himayathsagar lake,1789,Lakes  & Tanks,5,8.0,438.0,3.0,,,Less than 1.8,13,,,,16,136.0,44.0,40.0,4,,172.0,18.0,31.0,BDL,143.0,294.0,195,,,0.09,4.0,0.2,,4.7,18.csv,0.01,,0.02,,0.3,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),July 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes  & Tanks,5.1,6.73,540.0,3.0,,BDL,5,33,,,12.0,4,360.0,47.0,29.0,11,,168.0,32.0,21.0,28,89.0,346.0,166.0,10,,0.09,9.0,0.8,,2.5,19.csv,8.0,,,,0.14,-,,,,,,,,,,,,47.0,,,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,July 2019,Hussain sagar Lake,1391,Lakes  & Tanks,3.8,7.6,1786.0,32.0,,BDL,33,280,,,38.0,BDL,272.0,188.0,108.0,34,,400.0,96.0,39.0,77,200.0,1107.0,444.0,68,,0.09,36.0,BDL,,4.3,19.csv,,,,,0.21,,,,,,,,,,,,,49.0,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
